NAME,Lucky,
ID,xxx200001,
LENGTH,37,
AVERAGE,15.27703,
MINIMUM,10.4,
MAXIMUM,19.95,
TOTAL QUANTITY,774,
TOTAL COMMISSION,1198.49,
AVERAGE COMMISSION,32.39162,
STD DEV COMMISSION,10.57422,
-------------------------------- 
"Part.No","Quantity","Price","Total","Commission"
"Q-7733",22,17.53,385.66,38.566
"Q-3434",27,15.55,419.85,41.985
"Q-4841",11,11.5,126.5,12.65
"Q-6554",17,10.91,185.47,18.547
"Q-2925",29,16.09,466.61,46.661
"Q-8817",13,12.8,166.4,16.64
"Q-3722",18,17.71,318.78,31.878
"Q-4955",23,17.5,402.5,40.25
"Q-3230",15,10.4,156,15.6
"Q-7281",18,14.65,263.7,26.37
"Q-3040",31,13.79,427.49,42.749
"Q-4465",21,15.29,321.09,32.109
"Q-3637",27,17.61,475.47,47.547
"Q-3103",24,14.99,359.76,35.976
"Q-5273",24,16.14,387.36,38.736
"Q-5654",31,16.87,522.97,52.297
"Q-7951",21,16.49,346.29,34.629
"Q-7796",26,17.45,453.7,45.37
"Q-8103",21,17.13,359.73,35.973
"Q-2988",20,11.45,229,22.9
"Q-4941",15,18.14,272.1,27.21
"Q-9634",20,10.43,208.6,20.86
"Q-7004",18,19.93,358.74,35.874
"Q-8941",19,14.16,269.04,26.904
"Q-3000",15,19.95,299.25,29.925
"Q-3624",25,16.68,417,41.7
"Q-6604",12,11.36,136.32,13.632
"Q-9392",23,15.92,366.16,36.616
"Q-3943",13,15.22,197.86,19.786
"Q-9970",20,13.96,279.2,27.92
"Q-6965",18,14.58,262.44,26.244
"Q-7098",22,15.69,345.18,34.518
"Q-6932",27,17.37,468.99,46.899
"Q-9927",15,12.92,193.8,19.38
"Q-6475",29,14.47,419.63,41.963
"Q-8361",25,16.08,402,40.2
"Q-9577",19,16.54,314.26,31.426
